neo_id,name,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,miss_distance_au,miss_distance_km,relative_velocity_kmps,orbiting_body
3393818,(2007 VV83),0.0305179233,0.0682401509,False,2026-05-11,0.1145970302,17143471.626245674,6.3442046507,Earth
3694529,(2014 UN114),0.0334622374,0.0748238376,False,2026-05-11,0.2560130019,38298999.776545953,7.5672970671,Earth
3775041,(2017 KN27),0.022108281,0.0494356193,False,2026-05-11,0.3180600529,47581106.445927323,14.0218927834,Earth
3799752,(2018 DB2),0.100590039,0.2249261651,False,2026-05-11,0.1299178548,19435434.353049276,5.4929989508,Earth
3837536,(2018 YO2),0.002914439,0.0065168838,False,2026-05-11,0.47468059,71011205.1943433,7.722126779,Earth
2326290,326290 Akhenaten (1998 HE3),0.1144339731,0.2558821427,True,2026-05-10,0.0735508035,11003043.540388545,10.812193126,Earth
3713071,(2015 EZ6),0.0050647146,0.0113250461,False,2026-05-10,0.2287095833,34214466.510267571,9.7730843541,Earth
3753135,(2016 JX24),0.022108281,0.0494356193,False,2026-05-10,0.3826999263,57251093.823636981,17.0611787393,Earth
3789680,(2017 WG15),0.1160259082,0.2594418179,False,2026-05-10,0.4997068119,74755074.684730653,14.4647293706,Earth
54439881,(2024 FT15),0.0680385386,0.1521387973,False,2026-05-10,0.2156811912,32265446.802582744,1.3832689842,Earth
3263660,(2004 XA45),0.1677084622,0.3750075218,False,2026-05-09,0.4595880707,68753396.454129409,31.2565779806,Earth
3799834,(2018 EW1),0.0146067964,0.0326617897,False,2026-05-09,0.422340265,63181204.05923555,7.3386259047,Earth
3824065,(2018 JN1),0.0921626549,0.2060819612,False,2026-05-09,0.1808607463,27056382.413090381,13.7019778995,Earth
3653390,(2013 VL),0.0076657557,0.0171411509,False,2026-05-08,0.3544471998,53024546.117544426,19.0902236601,Earth
3719730,(2015 KB57),0.0921626549,0.2060819612,False,2026-05-08,0.1418385499,21218744.948928713,21.1447801345,Earth
3143095,(2002 VU114),0.0732073989,0.1636967205,False,2026-05-07,0.1267532686,18962018.998097882,11.1490042524,Earth
3374391,(2007 HW4),0.0506471459,0.1132504611,False,2026-05-07,0.3020236436,45182093.772199132,18.3150207484,Earth
3799712,(2018 DT),0.0101054342,0.0225964377,False,2026-05-07,0.487829343,72978230.63629941,17.0427410086,Earth
3461231,(2009 KR4),0.02658,0.0594346868,False,2026-05-06,0.2532564757,37886629.328426759,12.8245997874,Earth
3763274,(2016 VB1),0.0051351718,0.0114825932,False,2026-05-06,0.4929999126,73751736.835146162,18.06666918,Earth
3843898,(2019 SX),0.0031956189,0.007145621,False,2026-05-06,0.4886895273,73106912.375386851,29.1603883618,Earth
3532401,(2010 MS1),0.1113153296,0.2489086439,False,2026-05-05,0.4017526379,60101338.896721273,18.5068442359,Earth
3654644,(2013 XS23),0.0146067964,0.0326617897,False,2026-05-05,0.2367739807,35420883.184141109,8.0837105929,Earth
3802033,(2018 FZ2),0.0366906138,0.0820427065,False,2026-05-05,0.4324628494,64695521.124370778,9.2307116148,Earth
