planet_name,host_star,discovery_method,discovery_year,orbital_period_days,planet_mass_earth,planet_radius_earth,equilibrium_temp_k,distance_parsecs,in_habitable_zone
TOI-5789 c,TOI-5789,Transit,,12.927748,5.0,2.86,718.0,20.4581,False
TOI-1243 b,TOI-1243,Transit,2026.0,4.6594779,7.7,2.33,450.0,43.1865,False
TOI-1269 c,TOI-1269,Transit,2026.0,9.23786144195,,2.22999162,,172.138,False
TOI-1291 b,TOI-1291,Transit,2026.0,7.1620097551,,5.63826391,,428.123,False
TOI-205 b,TOI-205,Transit,2026.0,4.25300773815,,2.50121142,,177.759,False
TOI-209 b,TOI-209,Transit,2026.0,4.37943587445,,2.3947209,,113.387,False
TOI-375 b,TOI-375,Transit,2026.0,9.45469,236.78216321,10.77183045,1373.0,396.213,False
TOI-697 b,TOI-697,Transit,2026.0,8.60788713593,,2.35859364,,93.7714,False
TOI-4588 b,TOI-4588,Transit,2026.0,13.11881173651,,2.92922558,,225.181,False
TOI-5159 b,TOI-5159,Transit,2026.0,5.83639428843,,1.54732112,,55.1788,False
TOI-5160 b,TOI-5160,Transit,2026.0,4.280773256,,2.39729851,,151.465,False
TOI-5292 A b,TOI-5292 A,Transit,2026.0,2.02191,412.85910069,12.64373023,809.0,337.095,False
TOI-5335 b,TOI-5335,Transit,2026.0,3.61365988443,,4.02422162,,331.289,False
TOI-5349 b,TOI-5349,Transit,2026.0,3.317921,127.4,10.2,719.0,188.336,False
TOI-5380 b,TOI-5380,Transit,2026.0,3.77229247873,,3.48093238,,286.781,False
TOI-5422 b,TOI-5422,Transit,2026.0,5.377219,8899.195396,9.10169233,1369.0,346.141,False
TOI-5486 b,TOI-5486,Transit,2026.0,2.02470073205,,3.96824928,,89.6811,False
TOI-5502 b,TOI-5502,Transit,2026.0,11.62592988285,,4.1287378,,248.654,False
TOI-5515 b,TOI-5515,Transit,2026.0,8.59225810839,,2.65362762,,135.459,False
TOI-5532 b,TOI-5532,Transit,2026.0,5.6539659431,,2.52763693,,90.9985,False
TOI-4029 b,TOI-4029,Transit,2026.0,5.88498234631,,6.73756618,,274.436,False
TOI-4030 b,TOI-4030,Transit,2026.0,2.50900199461,,5.8462559,,571.615,False
TOI-4156 b,TOI-4156,Transit,2026.0,4.46189034133,,2.53823825,,213.719,False
TOI-4363 b,TOI-4363,Transit,2026.0,2.11867592279,,1.76689273,,77.7751,False
TOI-4405 b,TOI-4405,Transit,2026.0,5.92143995316,,2.55505441,,155.501,False
TOI-4495 b,TOI-4495,Transit,2026.0,2.56699,7.7,2.483,1735.0,132.214,False
TOI-4511 b,TOI-4511,Transit,2026.0,10.98090968596,,2.75304932,,121.832,False
TOI-4513 b,TOI-4513,Transit,2026.0,9.76042253684,,2.34587608,,102.609,False
TOI-4529 b,TOI-4529,Transit,2026.0,5.879577,4.9,1.77,511.0,28.384,False
TOI-4552 b,TOI-4552,Transit,2026.0,0.30110032,1.83,1.11,1122.0,27.2684,False
TOI-4561 b,TOI-4561,Transit,2026.0,8.93547936706,,1.77789214,,179.008,False
TOI-4578 b,TOI-4578,Transit,2026.0,8.62392630369,,2.26974262,,182.249,False
TOI-4640 b,TOI-4640,Transit,2026.0,2.68566015238,,2.84326517,,245.089,False
TOI-4662 b,TOI-4662,Transit,2026.0,4.70343764575,,2.87998299,,111.047,False
TOI-3862 b,TOI-3862,Transit,2026.0,1.55745774,53.7,5.53,1539.0,249.02,False
TOI-3896 b,TOI-3896,Transit,2026.0,4.37730369667,,3.14949237,,181.653,False
TOI-2200 b,TOI-2200,Transit,2026.0,2.93602836512,,6.96310517,,251.245,False
TOI-2227 b,TOI-2227,Transit,2026.0,4.22175815648,,3.09885187,,165.441,False
TOI-2431 b,TOI-2431,Transit,2026.0,0.22419578,6.2,1.534,2063.0,36.0559,False
TOI-2453 b,TOI-2453,Transit,2026.0,4.44143463188,,3.24380341,,81.9043,False
TOI-2518 b,TOI-2518,Transit,2026.0,6.89797425216,,2.26838675,,160.825,False
TOI-2654 b,TOI-2654,Transit,2026.0,2.96760425926,,7.94454164,,248.964,False
TOI-1814 b,TOI-1814,Transit,2026.0,6.36861010462,,5.18536642,,362.522,False
TOI-1839 b,TOI-1839,Transit,2026.0,1.42378440907,,2.21895097,,116.086,False
TOI-1873 b,TOI-1873,Transit,2026.0,7.00572708834,,2.86356397,,182.014,False
TOI-2071 b,TOI-2071,Transit,2026.0,5.67395386982,,2.56484195,,231.311,False
TOI-2092 b,TOI-2092,Transit,2026.0,4.30325528074,,2.94892961,,176.759,False
TOI-2094 b,TOI-2094,Transit,2026.0,18.793193,,1.9,276.0,50.0248,True
TOI-2104 b,TOI-2104,Transit,2026.0,5.904370457,,1.52898127,,76.7418,False
TOI-2133 b,TOI-2133,Transit,2026.0,3.8266472,,2.37,798.0,75.1973,False
TOI-1466 b,TOI-1466,Transit,2026.0,1.87190602231,,2.46741991,,86.5783,False
TOI-1718 b,TOI-1718,Transit,2026.0,5.58703768615,,4.10824994,,52.3044,False
TOI-1722 b,TOI-1722,Transit,2026.0,9.60523206943,,4.38298108,,136.419,False
LHS 1903 c,LHS 1903,Transit,2026.0,6.226185,4.55,2.046,559.0,35.6917,False
LHS 1903 b,LHS 1903,Transit,2026.0,2.1555098,3.28,1.382,796.0,35.6917,False
LHS 1903 d,LHS 1903,Transit,2026.0,12.566287,5.96,2.5,442.0,35.6917,False
TOI-1732 b,TOI-1732,Transit,2026.0,4.11923678339,,2.49549787,,74.7599,False
TOI-1750 b,TOI-1750,Transit,2026.0,11.33727129656,,2.78943837,,162.46,False
TOI-1752 b,TOI-1752,Transit,2026.0,0.9351861,,1.693,1036.0,103.021,False
TOI-1752 c,TOI-1752,Transit,2026.0,32.71443,,2.29,291.0,103.021,True
TOI-1756 b,TOI-1756,Transit,2026.0,2.78301736297,,1.94225664,,86.7159,False
TOI-799 b,TOI-799,Transit,2026.0,5.54519139676,,2.06631784,,158.526,False
TOI-808 b,TOI-808,Transit,2026.0,9.73944854026,,2.20344362,,98.1848,False
TOI-883 b,TOI-883,Transit,2026.0,10.05771848538,,7.17166228,,102.637,False
TOI-921 b,TOI-921,Transit,2026.0,5.12871907628,,3.53409617,,294.015,False
TOI-929 b,TOI-929,Transit,2026.0,5.83015366944,,2.68983343,,114.421,False
TOI-938 b,TOI-938,Transit,2026.0,8.80733882211,,4.82401567,,215.034,False
TOI-941 b,TOI-941,Transit,2026.0,8.51460888787,,6.51165317,,263.386,False
TOI-1036 b,TOI-1036,Transit,2026.0,3.77952125496,,6.28499593,,184.015,False
TOI-1080 b,TOI-1080,Transit,2026.0,3.9652482,10.7,1.2,368.0,25.559,False
TOI-1105 b,TOI-1105,Transit,2026.0,10.86818410933,,3.05823658,,79.5225,False
TOI-1226 b,TOI-1226,Transit,2026.0,3.92880881576,,2.4101112,,257.93,False
TOI-1232 b,TOI-1232,Transit,2026.0,14.256,220.57291446,10.92875618,,328.604,False
TIC 139702105 b,TIC 139702105,Transit,2026.0,6.83601903383,,2.45316949,,91.7884,False
TIC 142589416 b,TIC 142589416,Transit,2026.0,2.09518466313,,2.67899519,,168.933,False
TIC 153919886 b,TIC 153919886,Transit,2026.0,2.10510492329,,2.70601108,,132.33,False
TIC 154870955 b,TIC 154870955,Transit,2026.0,7.9698747128,,3.09467466,,226.463,False
TIC 160113658 b,TIC 160113658,Transit,2026.0,6.72952262077,,3.49015778,,200.156,False
TIC 161045582 b,TIC 161045582,Transit,2026.0,8.85577189959,,2.24566738,,162.246,False
TIC 178172313 b,TIC 178172313,Transit,2026.0,4.3731816136,,2.80405322,,178.137,False
TIC 188624430 b,TIC 188624430,Transit,2026.0,6.21860433132,,3.64811843,,300.743,False
TIC 198190129 b,TIC 198190129,Transit,2026.0,7.94804910667,,2.92284949,,130.035,False
TIC 206466666 b,TIC 206466666,Transit,2026.0,9.10486865159,,2.14817673,,127.837,False
TIC 249022743 b,TIC 249022743,Transit,2026.0,2.25719681538,,4.79568155,,396.46,False
TIC 260969020 b,TIC 260969020,Transit,2026.0,8.48584501953,,2.22686612,,121.222,False
TIC 231949697 b,TIC 231949697,Transit,2026.0,0.90720448719,,1.52831855,,50.2408,False
HIP 54515 b,HIP 54515,Imaging,2026.0,33000.0,5625.5628039,,,82.8101,False
TIC 270471727 b,TIC 270471727,Transit,2026.0,10.45623256647,,2.75029559,,182.104,False
TOI-5789 b,TOI-5789,Radial Velocity,2026.0,2.76369,2.12,,1201.0,20.4581,False
TOI-5789 d,TOI-5789,Radial Velocity,2026.0,29.65,4.29,,545.0,20.4581,False
TOI-5789 e,TOI-5789,Radial Velocity,2026.0,62.98,11.61,,424.0,20.4581,False
KMT-2022-BLG-1818L b,KMT-2022-BLG-1818L,Microlensing,2026.0,,1271.313628,,,5300.0,False
KMT-2022-BLG-1818L c,KMT-2022-BLG-1818L,Microlensing,2026.0,,114.41822652,,,5300.0,False
GJ 3090 c,GJ 3090,Radial Velocity,2026.0,15.9407,10.0,,407.2,22.4751,False
KOINTREAU-1 b,XEST 17-036,Imaging,2026.0,,3368.9811142,,,158.618,False
KMT-2025-BLG-1616L b,KMT-2025-BLG-1616L,Microlensing,2026.0,,42.32,,,7500.0,False
HD 176986 d,HD 176986,Radial Velocity,2026.0,61.376,6.76,,363.0,27.7843,False
HD 85426 c,TOI-1774,Radial Velocity,2026.0,35.73,10.3,,640.0,53.974,False
GJ 4274 b,GJ 4274,Radial Velocity,2026.0,1.6339,2.97,,,7.23556,False
GJ 4274 c,GJ 4274,Radial Velocity,2026.0,69.57,8.39,,,7.23556,False
TOI-7384 b,TOI-7384,Transit,2026.0,6.2340258,,3.56,378.0,66.7902,False
TOI-7155 b,TOI-7155,Transit,2026.0,3.89489711981,,2.40821473,,144.751,False
TOI-7333 b,TOI-7333,Transit,2026.0,6.26449803661,,2.09469416,,157.217,False
TOI-6954 b,TOI-6954,Transit,2026.0,4.02074127419,,3.63524486,,190.042,False
TOI-5624 b,TOI-5624,Transit,2026.0,3.3903473,9.4,2.314,1136.0,101.913,False
TOI-5624 c,TOI-5624,Transit,2026.0,7.885385,4.8,2.474,857.0,101.913,False
TOI-5624 e,TOI-5624,Transit,2026.0,21.489936,8.9,3.247,613.8,101.913,False
TOI-7008 b,TOI-7008,Transit,2026.0,0.84069041367,,4.94735276,,410.467,False
TOI-7009 b,TOI-7009,Transit,2026.0,2.3206612,,3.71,872.0,184.12,False
TOI-6677 b,TOI-6677,Transit,2026.0,5.45060661625,,5.83507112,,340.52,False
TOI-6692 b,TOI-6692,Transit,2026.0,131.125,197.05361234,11.67975789,467.0,312.903,False
TOI-6699 b,TOI-6699,Transit,2026.0,5.32005926761,,2.32645266,,85.8463,False
TOI-6707 b,TOI-6707,Transit,2026.0,3.83479363758,,5.72673066,,641.467,False
TOI-6716 b,TOI-6716,Transit,2026.0,4.7185898,,0.982,369.0,18.8873,False
TIC 87422071 b,TIC 87422071,Transit,2026.0,11.364929,409.99864503,10.8615023,1110.0,384.758,False
TOI-6281 b,TOI-6281,Transit,2026.0,1.05426244177,,1.92416074,,57.7451,False
TOI-6393 b,TOI-6393,Transit,2026.0,9.53176110329,,2.75958542,,186.229,False
TOI-6080 b,TOI-6080,Transit,2026.0,8.05562348084,,3.32424168,,188.183,False
TOI-4156 c,TOI-4156,Transit,2026.0,12.82282706375,,2.92303762,,213.719,False
TOI-5916 b,TOI-5916,Transit,2026.0,2.367128,226.61165419,11.35469745,683.0,199.724,False
TOI-5926 b,TOI-5926,Transit,2026.0,3.81122794237,,7.56807148,,275.103,False
TOI-5938 b,TOI-5938,Transit,2026.0,2.260424,,3.82,1077.0,114.035,False
TOI-5788 c,TOI-5788,Transit,2026.0,16.213362,6.4,2.272,667.0,97.614,False
TOI-5788 b,TOI-5788,Transit,2026.0,6.340758,3.72,1.528,910.0,97.614,False
TOI-5595 b,TOI-5595,Transit,2026.0,5.99002553853,,4.73740402,,136.955,False
TOI-5599 b,TOI-5599,Transit,2026.0,5.43691503941,,7.1888212,,547.948,False
TOI-5605 b,TOI-5605,Transit,2026.0,5.91340454843,,2.52611303,,95.0735,False
TOI-5614 b,TOI-5614,Transit,2026.0,4.17221328949,,3.21759316,,223.016,False
TOI-5624 d,TOI-5624,Transit,2026.0,13.731468,4.9,3.584,712.6,101.913,False
TOI-5630 b,TOI-5630,Transit,2026.0,3.22118452536,,2.37117553,,134.047,False
TOI-201 d,TOI-201,Transit,2026.0,5.84889,5.8,1.39,,113.825,False
TOI-5734 b,TOI-5734,Transit,2026.0,6.1841876,9.1,2.1,688.0,32.5102,False
TOI-5777 b,TOI-5777,Transit,2026.0,6.91716177373,,3.09551273,,114.277,False
TOI-4747 b,TOI-4747,Transit,2026.0,5.21924158592,,3.95803201,,304.615,False
TOI-4898 b,TOI-4898,Transit,2026.0,2.76520470167,,3.7197954,,98.5958,False
TOI-4930 b,TOI-4930,Transit,2026.0,6.78130241498,,6.93277225,,413.757,False
TOI-5007 b,TOI-5007,Transit,2026.0,2.543371,211.03806225,11.07447293,774.0,203.352,False
TIC 290487717 b,TIC 290487717,Transit,2026.0,3.400818229,,6.63777941,,395.574,False
TIC 294329732 b,TIC 294329732,Transit,2026.0,9.7565876181,,2.07692266,,189.333,False
TIC 320419023 b,TIC 320419023,Transit,2026.0,5.26375651589,,2.77280763,,288.893,False
TIC 349520724 b,TIC 349520724,Transit,2026.0,7.94044635021,,2.82626313,,241.105,False
TIC 356227008 b,TIC 356227008,Transit,2026.0,2.96147448702,,2.39024009,,387.609,False
TIC 390586021 b,TIC 390586021,Transit,2026.0,2.74703755819,,2.86009388,,114.558,False
TIC 423703298 b,TIC 423703298,Transit,2026.0,4.03712711976,,2.77230429,,136.191,False
TIC 437041147 b,TIC 437041147,Transit,2026.0,3.82301421497,,2.21526814,,246.6,False
TIC 445839811 b,TIC 445839811,Transit,2026.0,11.1086260318,,2.47771211,,235.655,False
TOI-1839 c,TOI-1839,Transit,2026.0,4.02393854207,,2.40867246,,116.086,False
GJ 1137 c,HD 93083,Radial Velocity,2026.0,9.6412,5.12,,,28.5159,False
TIC 147027702 b,TIC 147027702,Transit,2026.0,44.40523,346.43296363,10.92875618,863.0,457.186,False
TIC 245076932 b,TIC 245076932,Transit,2026.0,21.61389,162.09248757,10.87271128,845.0,303.96,False
TOI-5624 f,TOI-5624,Transit Timing Variations,2026.0,45.37,13.0,,478.5,101.913,False
TIC 183374187 b,TIC 183374187,Transit,2026.0,5.05907,177.98390792,14.03364384,1379.0,1208.75,False
TOI-375 c,TOI-375,Radial Velocity,2026.0,115.5,669.34662514,,596.0,396.213,False
TOI-375 d,TOI-375,Radial Velocity,2026.0,297.9,445.59542661,,434.0,396.213,False
KMT-2024-BLG-0176L b,KMT-2024-BLG-0176L,Microlensing,2026.0,,241.54958932,,,8340.0,False
KMT-2024-BLG-0349L b,KMT-2024-BLG-0349L,Microlensing,2026.0,,3769.44490702,,,5750.0,False
KMT-2024-BLG-1870L b,KMT-2024-BLG-1870L,Microlensing,2026.0,,336.89811142,,,5480.0,False
KMT-2024-BLG-2087L b,KMT-2024-BLG-2087L,Microlensing,2026.0,,1395.26670673,,,7190.0,False
GJ 887 d,GJ 887,Radial Velocity,2026.0,50.77,6.1,,241.0,3.28679,True
GJ 887 e,GJ 887,Radial Velocity,2026.0,4.4249,1.46,,544.0,3.28679,False
HD 164604 c,HD 164604,Radial Velocity,2026.0,5387.0,3019.3698665,,,39.3633,False
LHS 1903 e,LHS 1903,Transit,2026.0,29.31773,5.79,1.732,333.0,35.6917,False
KOINTREAU-3 b,ISO-Oph 96,Imaging,2026.0,,1080.6165838,,,140.563,False
KOINTREAU-4 b,2MASS J16262785-2625152,Imaging,2026.0,,4862.7746271,,,145.434,False
TOI-4336 A c,TOI-4336 A,Transit,2026.0,7.587266,1.55,1.251,399.5,22.5455,False
DMPP-2 c,DMPP-2,Radial Velocity,2026.0,3.168,51.79,,,137.94,False
DMPP-2 d,DMPP-2,Radial Velocity,2026.0,16.491,91.79,,,137.94,False
DMPP-6 b,DMPP-6,Radial Velocity,2026.0,7.6027,5.8,,,54.6303,False
DMPP-6 c,DMPP-6,Radial Velocity,2026.0,36.441,13.47,,,54.6303,False
DMPP-7 b,DMPP-7,Radial Velocity,2026.0,4.984,61.39,,,101.386,False
DMPP-8 b,DMPP-8,Radial Velocity,2026.0,62.915,81.09,,,76.1335,False
DMPP-9 b,DMPP-9,Radial Velocity,2026.0,12.733,14.43,,,109.539,False
KMT-2020-BLG-0202L b,KMT-2020-BLG-0202L,Microlensing,2026.0,,3902.93283796,,,3840.0,False
KMT-2022-BLG-1551L b,KMT-2022-BLG-1551L,Microlensing,2026.0,,940.77208472,,,6900.0,False
KMT-2023-BLG-0466L b,KMT-2023-BLG-0466L,Microlensing,2026.0,,1032.94232275,,,6800.0,False
KMT-2025-BLG-0121L b,KMT-2025-BLG-0121L,Microlensing,2026.0,,2469.52672239,,,6200.0,False
HD 68475 b,HD 68475,Radial Velocity,2026.0,7832.0,1639.99458012,,,33.4297,False
HD 100508 b,HD 100508,Radial Velocity,2026.0,5681.0,381.3940884,,,32.7548,False
HD 48265 c,HD 48265,Radial Velocity,2026.0,10418.0,1414.33641115,,,90.5446,False
HD 114386 c,HD 114386,Radial Velocity,2026.0,444.0,117.59651059,,,27.9243,False
KMT-2016-BLG-1337L b,KMT-2016-BLG-1337L,Microlensing,2026.0,,88.99195396,,,6920.0,False
KMT-2021-BLG-0852L b,KMT-2021-BLG-0852L,Microlensing,2026.0,,155.73591943,,,7230.0,False
KMT-2024-BLG-2005L b,KMT-2024-BLG-2005L,Microlensing,2026.0,,50.85254512,,,7720.0,False
KMT-2025-BLG-0481L b,KMT-2025-BLG-0481L,Microlensing,2026.0,,187.51876013,,,7980.0,False
TOI-1232 c,TOI-1232,Transit Timing Variations,2026.0,30.356,58.48042689,,,328.604,False
WISPIT 2 c,WISPIT 2,Imaging,2026.0,,3178.28407,17.93436912,2050.0,134.907,False
TIC 18942729 b,TIC 18942729,Transit,2026.0,0.99817838064,,2.00021315,,115.169,False
TIC 24750448 b,TIC 24750448,Transit,2026.0,3.59159193029,,2.43722231,,178.146,False
TIC 24750448 c,TIC 24750448,Transit,2026.0,10.14385270726,,3.09028272,,178.146,False
TIC 32032563 b,TIC 32032563,Transit,2026.0,13.83460487791,,3.47739942,,507.858,False
TIC 34085383 b,TIC 34085383,Transit,2026.0,3.47793368523,,3.91982296,,149.12,False
TIC 38825265 b,TIC 38825265,Transit,2026.0,3.31336980985,,2.18869476,,165.638,False
TIC 38828280 b,TIC 38828280,Transit,2026.0,4.85558984762,,2.62701629,,286.415,False
TIC 62895484 b,TIC 62895484,Transit,2026.0,2.83985434327,,3.49391667,,294.857,False
TIC 65612701 b,TIC 65612701,Transit,2026.0,10.22467974953,,5.07802804,,151.624,False
TIC 67686059 b,TIC 67686059,Transit,2026.0,3.52163529551,,2.59125922,,249.203,False
TIC 77319217 b,TIC 77319217,Transit,2026.0,7.54830765124,,3.10879526,,267.62,False
TIC 77552382 b,TIC 77552382,Transit,2026.0,3.51025904942,,5.69176189,,373.415,False
TIC 86380416 b,TIC 86380416,Transit,2026.0,6.0408643461,,2.4123612,,244.68,False
TIC 88692598 b,TIC 88692598,Transit,2026.0,2.64909436758,,1.81295951,,73.5258,False
TIC 117642575 b,TIC 117642575,Transit,2026.0,4.94459060181,,2.82716337,,188.758,False
TOI-2992 b,TOI-2992,Transit,2025.0,3.007812,1058.36859531,13.75341932,1726.0,542.026,False
TOI-3135 b,TOI-3135,Transit,2025.0,3.7065585,327.36325921,13.65253849,1292.0,221.673,False
TOI-3160 A b,TOI-3160 A,Transit,2025.0,3.971281,378.21580433,13.7646283,1539.0,567.678,False
TOI-3288 b,TOI-3288,Transit,2025.0,1.4338647,536.17652261,12.24020692,973.0,200.5,False
TOI-3464 b,TOI-3464,Transit,2025.0,3.6515568,397.28550875,13.7646283,1693.0,597.774,False
TOI-3474 b,TOI-3474,Transit,2025.0,3.8795105,193.87532827,14.67255574,1451.0,420.123,False
TOI-3486 b,TOI-3486,Transit,2025.0,2.21778105,99.16246298,10.5700688,1190.0,154.715,False
TOI-3493 b,TOI-3493,Transit,2025.0,8.1594667,8.97,3.22,1102.0,96.7224,False
TOI-3523 A b,TOI-3523 A,Transit,2025.0,2.30458952,435.42491759,15.9727975,1984.0,645.294,False
TOI-3593 b,TOI-3593,Transit,2025.0,3.8212867,565.73456446,11.02963701,1170.0,226.63,False
TOI-3682 b,TOI-3682,Transit,2025.0,3.3462406,69.28659273,12.80065596,1657.0,404.211,False
WASP-194 b,WASP-194,Transit,2025.0,3.183387,373.13054982,15.47960235,1693.0,476.831,False
TOI-3837 b,TOI-3837,Transit,2025.0,11.88865,187.51876013,10.87271128,1178.0,311.705,False
TOI-3856 b,TOI-3856,Transit,2025.0,2.04360352,171.62733978,13.59649359,1544.0,314.443,False
TOI-3877 b,TOI-3877,Transit,2025.0,4.123596,99.7981198,11.67975789,1445.0,493.77,False
TOI-3980 b,TOI-3980,Transit,2025.0,3.6089254,187.51876013,14.4595851,1621.0,486.721,False
TOI-2169 A b,TOI-2169 A,Transit,2025.0,8.2148282,329.58805806,12.50922246,1364.0,351.487,False
TOI-2267 c,TOI-2267 A,Transit,2025.0,3.4950412,,1.14,374.0,,False
TOI-2267 b,TOI-2267 A,Transit,2025.0,2.28909,,1.0,424.0,,False
TOI-2322 c,TOI-2322,Transit,2025.0,20.225528,18.1,1.874,496.8,59.861,False
TOI-2322 b,TOI-2322,Transit,2025.0,11.30717,2.31,0.994,603.1,59.861,False
TOI-2328 b,TOI-2328,Transit,2025.0,17.10197,50.85254512,9.97599282,842.0,231.782,False
TOI-2345 b,TOI-2345,Transit,2025.0,1.0528573,3.49,1.504,1478.0,81.6541,False
TOI-2345 c,TOI-2345,Transit,2025.0,21.064302,7.27,2.451,544.0,81.6541,False
TOI-2346 b,TOI-2346,Transit,2025.0,3.3312029,394.10722468,16.11851425,1689.0,437.484,False
TOI-2382 b,TOI-2382,Transit,2025.0,4.6612061,235.19302118,12.25141591,1426.0,434.92,False
TOI-2407 b,TOI-2407,Transit,2025.0,2.702969,,4.26,705.0,92.4366,False
TOI-2449 b,TOI-2449,Transit,2025.0,106.14468,222.0,11.24,400.0,156.786,False
TOI-2719 b,TOI-2719,Transit,2025.0,3.37594,,5.98,1710.0,588.368,False
NGTS-31 b,NGTS-31,Transit,2025.0,4.162734,355.96781584,18.04645893,1410.0,497.376,False
TOI-1803 c,TOI-1803,Transit,2025.0,12.885779,8.0,4.29,588.0,119.24,False
TOI-1803 b,TOI-1803,Transit,2025.0,6.293287,10.32,2.99,747.0,119.24,False
TOI-1846 b,TOI-1846,Transit,2025.0,3.9306737,,1.792,568.1,47.2496,False
TOI-2005 b,TOI-2005,Transit,2025.0,17.305904,2034.1018048,11.99360935,,328.475,False
TOI-2031 A b,TOI-2031 A,Transit,2025.0,5.71548654,254.2627256,14.20177855,1358.0,276.105,False
TOI-2093 c,TOI-2093,Transit,2025.0,53.81149,15.8,2.3,329.0,82.7982,False
TOI-1346 c,TOI-1346,Transit,2025.0,5.502558,,2.23,928.0,115.45,False
