event_id,event_type,start_time,end_time,class_type,source_location,linked_events,note
2025-05-17T00:00:00-GST-001,Geomagnetic Storm,2025-05-17T00:00Z,,,,2025-05-16T20:10:00-IPS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/38945/-1
2025-05-29T00:00:00-GST-001,Geomagnetic Storm,2025-05-29T00:00Z,,,,2025-05-28T22:38:00-IPS-001; 2025-05-28T23:11:00-HSS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/39145/-1
2025-06-01T06:00:00-GST-001,Geomagnetic Storm,2025-06-01T06:00Z,,,,2025-05-30T06:38:00-CME-001; 2025-05-30T12:53:00-CME-001; 2025-05-31T00:15:00-CME-001; 2025-05-31T14:23:00-CME-001; 2025-06-01T05:22:00-IPS-001; 2025-06-01T10:03:00-MPC-001; 2025-06-02T11:40:00-MPC-001; 2025-06-02T20:02:00-IPS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/39234/-1
2025-06-13T00:00:00-GST-001,Geomagnetic Storm,2025-06-13T00:00Z,,,,2025-06-08T02:48:00-CME-001; 2025-06-11T11:25:00-IPS-001; 2025-06-11T11:25:00-HSS-001; 2025-06-12T19:30:00-IPS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/39452/-1
2025-08-09T15:00:00-GST-001,Geomagnetic Storm,2025-08-09T15:00Z,,,,2025-08-05T16:48:00-CME-001; 2025-08-08T06:30:00-IPS-001; 2025-08-08T12:02:00-HSS-001; 2025-08-08T23:46:00-IPS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/40480/-1
2025-09-01T21:00:00-GST-001,Geomagnetic Storm,2025-09-01T21:00Z,,,,2025-08-30T00:23:00-CME-001; 2025-08-30T20:09:00-CME-001; 2025-09-01T20:26:00-IPS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/41013/-1
2025-09-09T21:00:00-GST-001,Geomagnetic Storm,2025-09-09T21:00Z,,,,2025-09-06T04:20:00-HSS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/41126/-1
2025-09-15T00:00:00-GST-001,Geomagnetic Storm,2025-09-15T00:00Z,,,,2025-09-14T13:57:00-IPS-001; 2025-09-14T19:10:00-HSS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/41239/-1
2025-09-30T03:00:00-GST-001,Geomagnetic Storm,2025-09-30T03:00Z,,,,2025-09-27T20:34:00-HSS-001; 2025-09-30T11:40:00-HSS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/41517/-1
2025-10-18T18:00:00-GST-001,Geomagnetic Storm,2025-10-18T18:00Z,,,,2025-10-18T14:30:00-IPS-001; 2025-10-19T05:32:00-HSS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/41876/-1
2025-11-05T21:00:00-GST-001,Geomagnetic Storm,2025-11-05T21:00Z,,,,2025-11-03T09:36:00-CME-001; 2025-11-05T16:50:00-IPS-001; 2025-11-06T03:51:00-MPC-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/42455/-1
2025-11-08T00:00:00-GST-001,Geomagnetic Storm,2025-11-08T00:00Z,,,,2025-11-05T22:23:00-CME-001; 2025-11-07T21:54:00-IPS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/42533/-1
2025-11-12T00:00:00-GST-001,Geomagnetic Storm,2025-11-12T00:00Z,,,,2025-11-07T12:53:00-CME-001; 2025-11-09T07:24:00-CME-001; 2025-11-10T09:36:00-CME-001; 2025-11-11T22:11:00-IPS-001; 2025-11-12T00:59:00-MPC-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/42642/-1
2025-11-12T18:00:00-GST-001,Geomagnetic Storm,2025-11-12T18:00Z,,,,2025-11-10T13:08:00-CME-001; 2025-11-11T10:23:00-CME-001; 2025-11-12T18:52:00-IPS-001; 2025-11-13T01:27:00-MPC-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/42662/-1
2025-12-03T18:00:00-GST-001,Geomagnetic Storm,2025-12-03T18:00Z,,,,2025-12-03T05:01:00-IPS-001; 2025-12-03T10:20:00-HSS-001; 2025-12-03T22:15:00-MPC-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/43225/-1
2025-12-10T21:00:00-GST-001,Geomagnetic Storm,2025-12-10T21:00Z,,,,2025-12-08T01:38:00-CME-001; 2025-12-08T05:12:00-CME-001; 2025-12-10T20:00:00-IPS-001; 2025-12-10T21:58:00-MPC-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/43425/-1
2026-01-10T18:00:00-GST-001,Geomagnetic Storm,2026-01-10T18:00Z,,,,2026-01-08T05:53:00-CME-001; 2026-01-08T15:48:00-CME-001; 2026-01-08T17:00:00-CME-001; 2026-01-08T17:12:00-CME-001; 2026-01-10T19:36:00-IPS-001; 2026-01-11T05:56:00-MPC-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/43885/-1
2026-01-19T18:00:00-GST-001,Geomagnetic Storm,2026-01-19T18:00Z,,,,2026-01-18T18:09:00-CME-001; 2026-01-19T18:55:00-IPS-001; 2026-01-19T22:49:00-MPC-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/44061/-1
2026-02-16T18:00:00-GST-001,Geomagnetic Storm,2026-02-16T18:00Z,,,,2026-02-14T15:30:00-HSS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/44700/-1
2026-03-13T21:00:00-GST-001,Geomagnetic Storm,2026-03-13T21:00Z,,,,2026-03-13T07:06:00-IPS-001; 2026-03-13T08:08:00-HSS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/45068/-1
2026-03-20T18:00:00-GST-001,Geomagnetic Storm,2026-03-20T18:00Z,,,,2026-03-18T09:23:00-CME-001; 2026-03-20T20:17:00-IPS-001; 2026-03-20T21:13:00-MPC-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/45201/-1
2026-03-22T09:00:00-GST-001,Geomagnetic Storm,2026-03-22T09:00Z,,,,2026-03-21T19:13:00-HSS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/45234/-1
2026-04-02T15:00:00-GST-001,Geomagnetic Storm,2026-04-02T15:00Z,,,,2026-04-02T03:37:00-HSS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/45511/-1
2026-04-03T15:00:00-GST-001,Geomagnetic Storm,2026-04-03T15:00Z,,,,2026-04-01T23:45:00-CME-001; 2026-04-03T15:02:00-IPS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/45535/-1
2026-04-18T06:00:00-GST-001,Geomagnetic Storm,2026-04-18T06:00Z,,,,2026-04-18T01:33:00-HSS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/45731/-1
2026-05-04T18:00:00-GST-001,Geomagnetic Storm,2026-05-04T18:00Z,,,,2026-04-30T12:38:00-CME-001; 2026-04-30T18:24:00-CME-001; 2026-05-04T04:10:00-IPS-001,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/45981/-1
