timestamp,ground_station_id,ground_station_name,region,signal_strength_dbm,antenna_azimuth_deg,antenna_elevation_deg,data_rate_mbps,cpu_usage_pct,memory_usage_pct,disk_io_mbps,temperature_celsius,status
2026-04-01T00:00:00Z,GS-01,Geneva Prime,Europe,-52.55,359.72,51.3,145.69,42.19,58.13,143.17,23.15,Online
2026-04-01T00:00:00Z,GS-06,Tanegashima,Asia Pacific,-67.04,1.09,49.07,86.03,47.9,44.69,11.0,21.16,Degraded
2026-04-01T00:05:00Z,GS-01,Geneva Prime,Europe,-75.19,1.88,48.84,57.63,62.59,58.19,82.7,19.86,Online
2026-04-01T00:05:00Z,GS-06,Tanegashima,Asia Pacific,-68.17,1.47,48.35,111.27,37.79,57.67,55.93,24.78,Online
2026-04-01T00:10:00Z,GS-01,Geneva Prime,Europe,-60.2,0.38,52.95,63.37,47.51,44.32,26.87,22.3,Online
2026-04-01T00:10:00Z,GS-06,Tanegashima,Asia Pacific,-48.92,2.84,51.08,90.97,27.26,54.24,61.57,23.59,Online
2026-04-01T00:15:00Z,GS-01,Geneva Prime,Europe,-54.85,0.22,52.61,88.45,36.88,64.89,121.24,23.41,Online
2026-04-01T00:15:00Z,GS-06,Tanegashima,Asia Pacific,-72.59,3.13,52.62,129.27,39.25,58.51,35.75,20.22,Online
2026-04-01T00:20:00Z,GS-01,Geneva Prime,Europe,-47.81,7.71,52.47,130.11,49.34,54.84,94.46,24.33,Online
2026-04-01T00:20:00Z,GS-06,Tanegashima,Asia Pacific,-60.54,8.13,47.38,124.66,46.04,57.61,83.67,19.04,Degraded
2026-04-01T00:25:00Z,GS-01,Geneva Prime,Europe,-63.3,6.96,56.22,84.45,35.3,55.99,116.62,22.53,Online
2026-04-01T00:25:00Z,GS-06,Tanegashima,Asia Pacific,-67.95,7.28,53.46,129.06,36.58,57.38,64.32,19.84,Online
2026-04-01T00:30:00Z,GS-01,Geneva Prime,Europe,-55.56,8.02,53.93,92.96,28.02,56.63,66.29,20.85,Online
2026-04-01T00:30:00Z,GS-06,Tanegashima,Asia Pacific,-62.42,8.31,57.69,105.24,48.09,59.4,10.0,22.01,Online
2026-04-01T00:35:00Z,GS-01,Geneva Prime,Europe,-59.1,13.68,54.18,109.05,44.58,50.65,125.71,23.2,Online
2026-04-01T00:35:00Z,GS-06,Tanegashima,Asia Pacific,-48.13,6.93,57.37,57.94,52.04,77.52,40.38,21.22,Online
2026-04-01T00:40:00Z,GS-01,Geneva Prime,Europe,-58.51,8.99,52.11,102.06,32.25,63.79,43.22,24.42,Online
2026-04-01T00:40:00Z,GS-06,Tanegashima,Asia Pacific,-71.75,9.36,56.84,63.07,47.73,70.46,15.7,22.37,Maintenance
2026-04-01T00:45:00Z,GS-01,Geneva Prime,Europe,-56.1,12.81,53.38,60.39,51.26,62.38,90.02,22.63,Online
2026-04-01T00:45:00Z,GS-06,Tanegashima,Asia Pacific,-70.2,11.71,56.44,78.57,67.39,63.79,32.35,23.1,Online
